task_id,paragraph_id,sentence_id,sentence,term_1,term_2,type_1,type_2,base_term_1,base_term_2,family_mode,family_out,difficulty,homogenous_heterogenous
71,2962,6,Prokaryotic DNA is in the cell's central part: the nucleoid (Figure ).,prokaryotic dna,nucleoid,entity,entity,prokaryotic dna,nucleoid,component,component,1.083458175,1
159,2967,23,"Environmental microbiologists may look for new ways to use specially selected or genetically engineered microbes to remove pollutants from soil or groundwater, as well as hazardous elements from contaminated sites.",genetically engineered microbe,groundwater,entity,entity,genetically engineered microbe,groundwater,component,component,0.986035931,1
195,2969,31,"If the cell grows too large, the plasma membrane will not have sufficient surface area to support the rate of diffusion required for the increased volume.",cell,plasma membrane,entity,entity,cell,plasma membrane,component,component,0.696581238,1
107,2963,13,Bacteria use fimbriae to attach to a host cell.,fimbriae,bacteria,entity,entity,fimbriae,bacterium,functional,functional,0.964182169,1
137,2966,22,"They ( microbiologists ) can work in the pharmaceutical sector, serving key roles in research and development by identifying new antibiotic sources that can treat bacterial infections.",bacterial infections,microbiologists,entity,entity,bacterial infection,microbiologist,functional,functional,0.974026076,1
186,2968,29,"This is not the case in eukaryotic cells, which have developed different structural adaptations to enhance intracellular transport.",adaptations,intracellular transport,event,event,adaptation,intracellular transport,functional,functional,0.860949173,1
96,2963,12,"Pili exchange genetic material during conjugation, the process by which one bacterium transfers genetic material to another through direct contact.",pili,bacterium,entity,entity,pili,bacterium,participant,participant,1.116212705,1
60,2961,3,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell's interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins.",ribosomes,plasma membrane,entity,entity,ribosome,plasma membrane,spatial,spatial,1.133321936,1
116,2964,16,"If you touch your hands to your mouth, nose, or eyes, those microbes can enter your body and could make you sick.",microbes,body,entity,entity,microbe,body,spatial,spatial,1.069021129,1
180,2968,27,The prokaryotes' small size allows ions and organic molecules that enter them to quickly diffuse to other parts of the cell.,cell,ions,entity,entity,cell,ion,spatial,spatial,1.089064952,1
4,2960,1,"We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- ="" before""; -kary- = ""nucleus"").",bacteria,prokaryotes,entity,entity,bacterium,prokaryote,taxonomy,taxonomy,0.170339044,
12,2960,2,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = Ã¢â‚¬Å“trueÃ¢â‚¬Âù).",eukaryotes,fungi,entity,entity,eukaryote,fungus,taxonomy,taxonomy,-0.756400213,1
193,2969,30,"Small size, in general, is necessary for all cells, whether prokaryotic or eukaryotic.",cells,eukaryotic,entity,entity,cell,eukaryotic cell,taxonomy,taxonomy,-0.762534027,1
114,2964,14,Because microbes (organisms so tiny that they can only be seen with microscopes) are ubiquitous.,microscopes,organisms,entity,entity,microscope,organism,no_relationship,no_relationship,-1.188414038,1
91,2963,12,"Pili exchange genetic material during conjugation, the process by which one bacterium transfers genetic material to another through direct contact.",transfers,conjugation,event,event,transfer,pili,causal,causal,0.98531718,1
